subject	Label				
Tralci fitomorfi	1				
I sette dei della fortuna	1				
adorazione dei Re Magi	1				
incredulità di san Tommaso	1				
scena mitologica	1				
san Girolamo	1				
madonna con bambino	1				
Sacra Famiglia	1				
ritratto d'uomo, Ritratto di Giuseppe Garibaldi	1				
Stemma Francescano	1				
P. D. Giambattista Comjno	1				
Transito della Madonna	1				
MOTIVI DECORATIVI VEGETALI	1				
Mosè salvato dalle acque; Il ritrovamento di Mosè	1				
trofeo di armi con elmo	1				
Fiori, Dalie	1				
Trinità e Angeli	1				
morte di Adone	1				
san Giuseppe e Gesù Bambino	1				
TRIONFO DELLA MORTE	1				
San Francesco d'Assisi riceve le stimmate	1				
contadina su asino	1				
Ecce Homo	1				
Ritratto di padre Francesco da Meda	1				
PAESAGGIO	1				
adorazione dei pastori	1				
ritratto di Costante Rebucci	1				
Clemente VIII Aldobrandini si reca alle Marmore	1				
giovane donna	1				
Angelo Custode	1				
Personaggi: Isacco; Rebecca; giovane.	0				
Ritratto di Cardinale	1				
battaglia	1				
Soggetti sacri: disputa di Gesù con i dottori nel tempio.	0				
Personaggi: Madonna; Gesù Bambino; Sant'Anna; San Giuseppe; San Sebastiano; San Rocco.	0				
Natura morta	1				
Trinità	1				
Madonna Assunta con angeli	1				
Madonna con Bambino e angeli	1				
Personaggi: Madonna; Santa Teresa d'Avila; San Giuseppe; Gesu' Bambino. Attributi: (Santa Teresa) freccia; collana. Attributi: (San Giuseppe) verga fiorita.Abbigliamento religioso: abito carmelitano. Figure: angeli. Oggetti: spilla; candelabro; cartagloria; tovaglia d'altare; cuscino d'altare; cilicio; disciplina.	0				
fiumi	1				
Personaggi: Madonna; Gesu' Bambino; San Giuseppe. Figure: angeli.	0				
Personaggi: Cristo alla colonna. Attributi: (Cristo alla colonna) colonna; corona di spine; sudario.	0				
Martirio di San Sebastiano	1				
Personaggi: Madonna; Gesù Bambino; San Giuseppe; SanGiovannino. Attributi: (San Giovannino) croce; pelleanimale.	0				
Angeli musicanti	1				
Santa Maria Maddalena portata in cielo dagli angeli	1				
Fiori	1				
Bacco e arianna	1				
Sigismondo imperatore incorona a Chambery Amedeo VIII primo duca di Savoia	0				
ritratto di Pietro Sitta	1				
Dio Padre	1				
CRISTO RISORTO CHE ABBRACCIA LA CROCE	1				
Sant' Agostino	1				
scena campestre	1				
Sacro cuore di Gesù	1				
GIARDINO	1				
ritratto di Arturo Conti	1				
Paesaggio lacustre	1				
Animali	1				
costumi orientali	1				
Orazione di Cristo nell'orto di Getsemani	1				
ritratto di Andrea Giovine	1				
Ritratto d'uomo	1				
annunciazione	1				
Isacco sul letto benedice Giacobbe travestito con le vesti di Esau'	0				
ritratto d'uomo, Ritratto di Ferdinando duca d'Alba in corazza e Toson d'Oro	0				
volatili e animali con vegetazione orientaleggiante	1				
PAESAGGIO CON PASTORI	1				
ritratto di Filippo III	1				
Gentiluomo	1				
Natura morta con fiori	1				
San Marco Evangelista	1				
paesaggio, paesaggio sulla via di Camaldoli	1				
Madonna con Bambino con San Francesco, San Girolamo, Santa Elisabetta e un devoto	0				
SPERANZA	1				
busto di giovane	1				
annunciazione, Annunciazione	1				
cane, Studio di cane	1				
Presentazione di Gesù al Tempio, Presentazione di Gesù Bambino al tempio	0				
ritratto d'uomo, Rolando Pallavicino	1				
Adorazione dei Magi	1				
Il muratore	1				
Ritorno dalla caccia	1				
Corse di cavalli	1				
Pastorella del Vesuvio	1				
Personaggi: papa Clemente VII. Vesti ecclesiastiche: mozzetta; camauro. Oggetti: sedia; tappeto; mappa; tendaggio.	0				
ALLEGORIA DELLA MUSICA	1				
